type,origin,destination,distance
university-supermarket,uach-mf,acuenta_1,4162
university-supermarket,uach-mf,acuenta_2,4228
university-supermarket,uach-mf,acuenta_3,3291
university-supermarket,uach-mf,eltit_1,2174
university-supermarket,uach-mf,eltrebol_1,3066
university-supermarket,uach-mf,eltrebol_2,4803
university-supermarket,uach-mf,jumbo_1,3102
university-supermarket,uach-mf,santaisabel_1,2713
university-supermarket,uach-mf,santaisabel_2,4868
university-supermarket,uach-mf,unimarc_1,2845
university-supermarket,uach-mf,unimarc_2,2584
university-supermarket,uach-mf,unimarc_3,2297
university-supermarket,uach-mf,unimarc_4,4034
university-supermarket,uach-teja,acuenta_1,6269
university-supermarket,uach-teja,acuenta_2,5225
university-supermarket,uach-teja,acuenta_3,2614
university-supermarket,uach-teja,eltit_1,2079
university-supermarket,uach-teja,eltrebol_1,5283
university-supermarket,uach-teja,eltrebol_2,6674
university-supermarket,uach-teja,jumbo_1,2798
university-supermarket,uach-teja,santaisabel_1,1823
university-supermarket,uach-teja,santaisabel_2,5865
university-supermarket,uach-teja,unimarc_1,4940
university-supermarket,uach-teja,unimarc_2,2245
university-supermarket,uach-teja,unimarc_3,1444
university-supermarket,uach-teja,unimarc_4,4039
university-supermarket,uss,acuenta_1,4249
university-supermarket,uss,acuenta_2,3730
university-supermarket,uss,acuenta_3,1975
university-supermarket,uss,eltit_1,858
university-supermarket,uss,eltrebol_1,3153
university-supermarket,uss,eltrebol_2,4890
university-supermarket,uss,jumbo_1,1785
university-supermarket,uss,santaisabel_1,1397
university-supermarket,uss,santaisabel_2,4370
university-supermarket,uss,unimarc_1,2932
university-supermarket,uss,unimarc_2,1267
university-supermarket,uss,unimarc_3,980
university-supermarket,uss,unimarc_4,3028
university-supermarket,ust,acuenta_1,3998
university-supermarket,ust,acuenta_2,2515
university-supermarket,ust,acuenta_3,619
university-supermarket,ust,eltit_1,1128
university-supermarket,ust,eltrebol_1,3471
university-supermarket,ust,eltrebol_2,3964
university-supermarket,ust,jumbo_1,422
university-supermarket,ust,santaisabel_1,937
university-supermarket,ust,santaisabel_2,3155
university-supermarket,ust,unimarc_1,2678
university-supermarket,ust,unimarc_2,802
university-supermarket,ust,unimarc_3,1405
university-supermarket,ust,unimarc_4,1326
university-supermarket,inacap,acuenta_1,6056
university-supermarket,inacap,acuenta_2,4529
university-supermarket,inacap,acuenta_3,3264
university-supermarket,inacap,eltit_1,3773
university-supermarket,inacap,eltrebol_1,5527
university-supermarket,inacap,eltrebol_2,5978
university-supermarket,inacap,jumbo_1,2805
university-supermarket,inacap,santaisabel_1,3582
university-supermarket,inacap,santaisabel_2,5169
university-supermarket,inacap,unimarc_1,4736
university-supermarket,inacap,unimarc_2,3447
university-supermarket,inacap,unimarc_3,4049
university-supermarket,inacap,unimarc_4,1377
university-university,uach-mf,uach-teja,3706
university-university,uach-mf,uss,1315
university-university,uach-mf,ust,3177
university-university,uach-mf,inacap,5353
university-university,uach-teja,uss,2389
university-university,uach-teja,ust,2713
university-university,uach-teja,inacap,5358
university-university,uss,ust,1861
university-university,uss,inacap,4347
university-university,ust,inacap,2645
supermarket-supermarket,acuenta_1,acuenta_2,2962
supermarket-supermarket,acuenta_1,acuenta_3,4616
supermarket-supermarket,acuenta_1,eltit_1,4190
supermarket-supermarket,acuenta_1,eltrebol_1,1898
supermarket-supermarket,acuenta_1,eltrebol_2,1436
supermarket-supermarket,acuenta_1,jumbo_1,3966
supermarket-supermarket,acuenta_1,santaisabel_1,4700
supermarket-supermarket,acuenta_1,santaisabel_2,2789
supermarket-supermarket,acuenta_1,unimarc_1,1898
supermarket-supermarket,acuenta_1,unimarc_2,4347
supermarket-supermarket,acuenta_1,unimarc_3,4845
supermarket-supermarket,acuenta_1,unimarc_4,4739
supermarket-supermarket,acuenta_2,acuenta_3,3133
supermarket-supermarket,acuenta_2,eltit_1,3528
supermarket-supermarket,acuenta_2,eltrebol_1,3757
supermarket-supermarket,acuenta_2,eltrebol_2,1853
supermarket-supermarket,acuenta_2,jumbo_1,2574
supermarket-supermarket,acuenta_2,santaisabel_1,3483
supermarket-supermarket,acuenta_2,santaisabel_2,640
supermarket-supermarket,acuenta_2,unimarc_1,1674
supermarket-supermarket,acuenta_2,unimarc_2,3297
supermarket-supermarket,acuenta_2,unimarc_3,3949
supermarket-supermarket,acuenta_2,unimarc_4,3210
supermarket-supermarket,acuenta_3,eltit_1,1242
supermarket-supermarket,acuenta_3,eltrebol_1,4069
supermarket-supermarket,acuenta_3,eltrebol_2,4582
supermarket-supermarket,acuenta_3,jumbo_1,739
supermarket-supermarket,acuenta_3,santaisabel_1,845
supermarket-supermarket,acuenta_3,santaisabel_2,3774
supermarket-supermarket,acuenta_3,unimarc_1,3297
supermarket-supermarket,acuenta_3,unimarc_2,863
supermarket-supermarket,acuenta_3,unimarc_3,1312
supermarket-supermarket,acuenta_3,unimarc_4,1945
supermarket-supermarket,eltit_1,eltrebol_1,3204
supermarket-supermarket,eltit_1,eltrebol_2,4744
supermarket-supermarket,eltit_1,jumbo_1,1053
supermarket-supermarket,eltit_1,santaisabel_1,747
supermarket-supermarket,eltit_1,santaisabel_2,4168
supermarket-supermarket,eltit_1,unimarc_1,2861
supermarket-supermarket,eltit_1,unimarc_2,535
supermarket-supermarket,eltit_1,unimarc_3,655
supermarket-supermarket,eltit_1,unimarc_4,2455
supermarket-supermarket,eltrebol_1,eltrebol_2,2868
supermarket-supermarket,eltrebol_1,jumbo_1,3439
supermarket-supermarket,eltrebol_1,santaisabel_1,3714
supermarket-supermarket,eltrebol_1,santaisabel_2,3648
supermarket-supermarket,eltrebol_1,unimarc_1,2301
supermarket-supermarket,eltrebol_1,unimarc_2,3361
supermarket-supermarket,eltrebol_1,unimarc_3,3859
supermarket-supermarket,eltrebol_1,unimarc_4,4209
supermarket-supermarket,eltrebol_2,jumbo_1,3946
supermarket-supermarket,eltrebol_2,santaisabel_1,4932
supermarket-supermarket,eltrebol_2,santaisabel_2,1663
supermarket-supermarket,eltrebol_2,unimarc_1,2124
supermarket-supermarket,eltrebol_2,unimarc_2,4681
supermarket-supermarket,eltrebol_2,unimarc_3,5407
supermarket-supermarket,eltrebol_2,unimarc_4,4659
supermarket-supermarket,jumbo_1,santaisabel_1,1036
supermarket-supermarket,jumbo_1,santaisabel_2,3214
supermarket-supermarket,jumbo_1,unimarc_1,2646
supermarket-supermarket,jumbo_1,unimarc_2,734
supermarket-supermarket,jumbo_1,unimarc_3,1460
supermarket-supermarket,jumbo_1,unimarc_4,1486
supermarket-supermarket,santaisabel_1,santaisabel_2,4123
supermarket-supermarket,santaisabel_1,unimarc_1,3371
supermarket-supermarket,santaisabel_1,unimarc_2,409
supermarket-supermarket,santaisabel_1,unimarc_3,468
supermarket-supermarket,santaisabel_1,unimarc_4,2263
supermarket-supermarket,santaisabel_2,unimarc_1,2288
supermarket-supermarket,santaisabel_2,unimarc_2,3937
supermarket-supermarket,santaisabel_2,unimarc_3,4589
supermarket-supermarket,santaisabel_2,unimarc_4,3851
supermarket-supermarket,unimarc_1,unimarc_2,3018
supermarket-supermarket,unimarc_1,unimarc_3,3516
supermarket-supermarket,unimarc_1,unimarc_4,3420
supermarket-supermarket,unimarc_2,unimarc_3,833
supermarket-supermarket,unimarc_2,unimarc_4,2128
supermarket-supermarket,unimarc_3,unimarc_4,2731
